Date,Predicted_Sales,Lower_Bound,Upper_Bound,Actual_Sales
2010-02-05,47536025.381308824,42608863.138038106,52341923.84671174,49750740.5
2010-02-12,48147859.35468212,43148195.28202696,52815926.51218254,48336677.63
2010-02-19,46800055.69176497,41784084.33257201,51623782.37863991,48276993.78
2010-02-26,45737961.84683013,40815241.12056995,50516998.20758596,43968571.13
2010-03-05,45560141.04948361,40592630.91615613,50679676.61114788,46871470.3
2010-03-12,45415179.54325483,40346732.49113551,50704970.75468892,45925396.51
2010-03-19,44892023.39414702,39885749.59436474,49919823.95891292,44988974.64
2010-03-26,44760351.21609267,39843169.547055505,50347157.66320882,44133961.05
2010-04-02,45708870.981596425,40781572.340902895,50887912.70698968,50423831.26
2010-04-09,47049126.43562652,42134727.925679885,51613282.66592523,47365290.44
2010-04-16,47316613.65673812,42341482.990786314,52154161.537655786,45183667.08
2010-04-23,46069947.862363234,41302881.71586885,51157692.47357748,44734452.56
2010-04-30,44543317.109786116,39693887.78875116,49403457.06006937,43705126.71
2010-05-07,44270331.594577394,39365307.06036108,49503747.92927694,48503243.52
2010-05-14,45384944.234885424,40539820.221984036,50368333.49560827,45330080.2
2010-05-21,46658898.518848196,41962949.12550579,51686905.49078839,45120108.06
2010-05-28,47087267.548160814,41834694.3915735,52099510.88005885,47757502.56
2010-06-04,46950948.77745079,41929387.53335522,51856402.547065124,50188543.12
2010-06-11,47125958.87355059,42156504.98945074,52254392.11338178,47826546.72
2010-06-18,47734676.958461665,42379444.497941054,52817453.844636716,47622046.23
2010-06-25,47974897.905763246,43124587.43444933,53006015.930477925,46609036.29
2010-07-02,47268430.02171463,42359259.973738045,52096999.8132249,48917484.5
2010-07-09,46103691.708249904,41262642.43176314,50815564.74094741,47899529.37
2010-07-16,45442318.77725533,40789215.547915496,50541306.04148196,46243899.58
2010-07-23,45548503.498740606,40642761.21227508,50490156.60650368,44888849.11
2010-07-30,45840288.7700611,41019081.6558215,50765431.30490484,44630363.42
2010-08-06,45880264.612674445,41476715.57994381,50563484.914768994,48204999.12
2010-08-13,46008011.95690157,41061942.63722512,51311588.271314986,46464418.410000004
2010-08-20,46643248.08010527,41544018.64219681,51386008.73441284,47060952.92
2010-08-27,47264223.804538555,42435496.013171166,52272719.471351385,45909740.44
2010-09-03,46708115.13869558,41922823.650233805,51537198.186898515,47194257.61
2010-09-10,44690477.43449803,39634990.99161417,49553606.727335356,45634397.84
2010-09-17,42572028.747044966,37478346.46775005,47487204.65724623,43080726.51
2010-09-24,42087143.915130906,36739311.72768951,47162269.551728204,41358514.41
2010-10-01,43360706.38237804,38359917.417427726,48361301.55032332,42239875.87
